FID,My_FID3,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
219,348,Sierra Teopantepeque,Sierra Yucu Yuco;Yucu Yuco;Teopantepeque, ,2, ,Mountain Range,194,Near,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-97.40096133,17.29336612,https://en.wikipedia.org/wiki/16th_century
102,349,Teopochco,Santa María Teopochco,Santa María Teopoxco,1, ,Sujeto,374,Depends on,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw, ,-96.953643,18.167212,https://en.wikipedia.org/wiki/16th_century
15,351,Teozacualco,Huey Tzacualco;Hueyzacualco;Teozaqualco;Chiyocano;Chiyo Canu,Teozacualco,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.28666667,17.01583333,https://en.wikipedia.org/wiki/16th_century
69,352,Teozapotlan,Zaachilla;Zachilla;Tucuisi Ñuhu;Tocuisi,Zaachila,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.75,16.95,https://en.wikipedia.org/wiki/16th_century
20,353,Tepeaca, ,Tepeaca,1, , ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.90341921,18.96581899,https://en.wikipedia.org/wiki/16th_century
143,354,Tepecimatlan, ,Mixtepec,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.89805556,16.82416667,https://en.wikipedia.org/wiki/16th_century
136,355,Tepeguazontlan, ,San Dionisio Del Mar,1, ,Sujeto,344,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-94.75694444,16.32166667,https://en.wikipedia.org/wiki/16th_century
70,356,Tepeltotutla, ,Tepetotutla,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.55833333,17.73833333,https://en.wikipedia.org/wiki/16th_century
204,358,Tepetlapa, ,Tepetlapa,1, ,Cabecera,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-98.06388889,16.54138889,https://en.wikipedia.org/wiki/16th_century
144,359,Tepeucila,Cocaa;Yanidemel;Yantindo,San Juan Tepeuxila,1, , ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.84166308,17.72340429,https://en.wikipedia.org/wiki/16th_century
175,360,Tepexititlan,Santa María Tepexititlan,Jiotes,1, ,Sujeto,98,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.81944444,18.10694444,https://en.wikipedia.org/wiki/16th_century
166,361,Teponaztla,Dayyu,Teponaxtla,1, ,Estancia,359,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.72083333,17.71722222,https://en.wikipedia.org/wiki/16th_century
29,362,Teposcolula,Tepozcolula;Yucunda;Yucu Nda,Teposcolula,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.425,17.55055555,https://en.wikipedia.org/wiki/16th_century
205,363,Ensenada de Tequanapa,Tequanapa,Barra de Tecoanapa,1, ,Cave,0, ,,,Acuña 1984;GeoNames_Mx,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=183,-98.78333,16.51667,https://en.wikipedia.org/wiki/16th_century
148,364,Tequecistlan, ,Tequisistlan,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-95.60333333,16.39916667,https://en.wikipedia.org/wiki/16th_century
