FID,My_FID5,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID5,Type2,FID_Relat2,References,Type_URL,Time_span,X,Y
447,76,Cacamatzintla,Cacahuçintla, ,2,Dissapeared. Glosa de la pintura de Veracruz,Pueblo,0, ,76, ,0,Acuña 1985;GeoNames_MX;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.53836,19.89186
178,78,Santa María Calipan,Santa María Calipa;Calipan;Calipa,Calipan,1, ,Estancia,774,Depends on,78, ,0,Acuña 1985;Atlas 2010, ,https://en.wikipedia.org/wiki/16th_century,-97.165833,18.293056
409,79,Calohuapan, , ,2,Dissapeared. Glosa de la pintura de Veracruz,Pueblo,0, ,79, ,0,Acuña 1985;GeoNames_MX;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.45158,19.3021
68,80,Calpan, ,Calpan,1, , ,0, ,80, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.46333333,19.10361111
173,81,Camoquauhtla, ,Camocuautla,1, ,Sujeto,281,Depends on,81, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-97.75722222,20.03888889
410,83,Rio de Canoas,Río de Canoas;Huitzilapan;Río de la Veracruz,Rio La Antigua,1, ,River,0, ,83, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-96.30756,19.3137
311,84,Rio de Cañas, ,Rio Prieto,1, ,River,667,Near,84, ,0,Acuña 1985;GeoNames_MX;Garcia de Leon 2011,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-95.45211,18.67189
441,85,San Miguel Capulapa,San Miguel Capulapan,Capuluaque,1, ,Sujeto,619,Depends on,85, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.765278,19.794722
143,87,Catemaco,Acatemaco,Catemaco,1, ,Estancia,90,Depends on,87, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-95.11361111,18.41944444
314,89,Caxiapa,Caxiapan, ,2,Dissapeared,Estancia,90,Depends on,89, ,0,Acuña 1985;Garcia de Leon 2011, ,https://en.wikipedia.org/wiki/16th_century,-95.25006,18.68785
