FID,My_FID1,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
80,277,Taculula, ,Santa Maria Tacuilula,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.5167,14.1001,https://en.wikipedia.org/wiki/16th_century
19,278,Tamahún,San Esteban Tamahún;San Esteban,Tamahú,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.23471,15.30709,https://en.wikipedia.org/wiki/16th_century
176,279,Tasisco,Tlaxisco,Taxisco,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.46426,14.07003,https://en.wikipedia.org/wiki/16th_century
32,281,Tecolula,Tecoluca,Tecolula,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-88.7803,13.5372,https://en.wikipedia.org/wiki/16th_century
3,283,Tecpán Atitlán, ,Sosolá,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps, , ,-91.18202,14.7708,https://en.wikipedia.org/wiki/16th_century
124,284,Tecpán Izalco, ,Izalco,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.674616,13.745628,https://en.wikipedia.org/wiki/16th_century
202,289,Sierras de los Teczahuangos,Sierra de los Tecxacuangos, ,1,"Portion of the Coastal Chain that extends south of San Salvador and in which are the towns of Santiago, Santo Tomás and San Marcos Texacuangos",0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Lardé y Larín 1976: 220,Mountain Range,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-89.14548961,13.64475059,https://en.wikipedia.org/wiki/16th_century
159,290,Tehuantepeque, ,Santo Domingo Tehuantepec,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,Villa, ,-95.24141798,16.32140045,https://en.wikipedia.org/wiki/16th_century
99,291,Teguzgalpa,Honduras,Tegucigalpa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps, , ,-87.20913995,14.08773742,https://en.wikipedia.org/wiki/16th_century
69,293,Tepeaca, ,Tepeaca,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Del Paso y Troncoso 1905;INEGI: MEX_topoloc,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.90341921,18.96581899,https://en.wikipedia.org/wiki/16th_century
78,294,Tepeaco, ,Tepeaco,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.55,14.1334,https://en.wikipedia.org/wiki/16th_century
160,295,Tequecistepeque, ,Texistepeque,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-89.496502,14.123564,https://en.wikipedia.org/wiki/16th_century
143,297,Laguna de Términos, ,Laguna de Términos,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Gerhard 1972 SE Frontier;GeoNames_MX,Lake,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,-91.495903,18.6210995,https://en.wikipedia.org/wiki/16th_century
88,301,Tilapa, , ,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00, , , ,-92.17356682,14.49952148,https://en.wikipedia.org/wiki/16th_century
