FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
263,54,Calnepalolco, , ,2,Dissapeared,Fortress,0, , ,Acuña 1984;Carrasco 2011;INAH_Sitios_Cuenca.shp,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=416,https://en.wikipedia.org/wiki/16th_century,-98.40122,19.51037
66,55,Calpan, ,Calpan,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.46333333,19.10361111
64,56,Calpulalpan, ,Calpulalpan,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.56916667,19.58777778
132,57,Campeche,Campech Yucatán;Canpeche,Barrio de San Francisco,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-90.52472222,19.85166667
241,58,Castilblanco San Francisco,Castilblanca;San Francisco Castilblanco,Tenamictic,1,"When Cortés arrived this place was called Ixtacamaxtitlán and was on the top of the Acolhua mountain, later this town was moved to the southwest where it is today.",Pueblo,0, , ,Acuña 1984;INAH_Sitios_Cuenca.shp;Myers 2015,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.796523,19.628842
78,59,Cempoallan, ,Zempoala,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.66972222,19.915
272,60,Cartago, ,Tunez,1, , ,0, , ,GoogleMaps, , ,10.34083633,36.87223451
36,61,Cichu, ,Xichú,1, , ,0, , ,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-100.059444,21.298333
249,62,Río Ciro, ,Río Diala,1, ,River,0, , ,Acuña 1984;Barja & Morillo 2001,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,44.506521,33.222041
273,63,Castilla, , ,1, , ,0, , ,GoogleMaps, , ,-4.036373825,39.02985948
3,64,Cohuatepeque, ,Coatepec,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.55888889,18.6675
103,65,Cohuatlichan, ,Coatlinchan,1, ,Sujeto,299,Depends on, ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-98.87222222,19.44888889
6,66,Cohuatzaqualco,Coatzaquálco,Villa Allende,1, , ,0, , ,Acuña 1984;Scholes and Roys 1996;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-94.385122,18.14741
204,67,Comallan, ,Comala,1, ,Pueblo,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-103.75926,19.32717
25,68,Compostela, ,Compostela,1, , ,0, , ,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-104.900556,21.2375
