FID,My_FID10,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,,References,Type_URL,X,Y,Time_span
163,157,Minas de Mazapil,Mazapil,Mazapil,1, ,Mining Camp,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-104.3606518,19.45919986,https://en.wikipedia.org/wiki/16th_century
162,158,Minas de San Demetrio, ,Plateros,2, ,Mining Camp,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.7847222,20.34416667,https://en.wikipedia.org/wiki/16th_century
146,161,Tepeque, , ,2, ,Mountain Range,0, ,,Acuña 1988;Google Maps, ,-104.6702958,24.02406035,https://en.wikipedia.org/wiki/16th_century
47,163,Minas De Zumpango, ,Zumpango Del Rio,1, ,Mining Camp,0, ,,Acuña 1988;Toponimos50k, ,-103.9629942,19.81793083,https://en.wikipedia.org/wiki/16th_century
113,168,Sombrerete,Villa de Llerena;Minas del Sombrerete,Sombrerete,1, ,Mining Camp,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-103.5236111,19.96583333,https://en.wikipedia.org/wiki/16th_century
112,169,Fresnillo, ,Fresnillo,1, ,Mining Camp,0, ,,Acuña 1988;Goyas Mejia 2017: 421,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.6796853,19.99004326,https://en.wikipedia.org/wiki/16th_century
164,170,Chalchihuites,Los Chalchihuites,Chalchihuites,1, , ,0, ,,Acuña 1988;Goyas Mejia 2017,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.7262954,19.84584298,https://en.wikipedia.org/wiki/16th_century
132,171,Mitique, ,Mitic,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800, ,-104.6794444,19.51166667,https://en.wikipedia.org/wiki/16th_century
87,172,Quauhtlan, , ,2, ,Hill,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.701111,19.225278,https://en.wikipedia.org/wiki/16th_century
79,173,Nuchiztlan,Nochiztlan;Nochtlan;Xic Conecan,Nochistlan,1, ,Cabecera,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.8863889,20.41777778,https://en.wikipedia.org/wiki/16th_century
50,175,Ocotic, ,Ocotic,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.7930556,20.5425,https://en.wikipedia.org/wiki/16th_century
73,177,Ocotlan,Tasnahui,Ocotlan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.9244444,20.46611111,https://en.wikipedia.org/wiki/16th_century
86,181,Quauhtitlan, ,Cuautitlán de García Barragán,1, ,Sujeto,81,Depends on,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.7269444,20.40666667,https://en.wikipedia.org/wiki/16th_century
37,186,Poncitlan, ,Poncitlan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.9272222,20.38916667,https://en.wikipedia.org/wiki/16th_century
83,187,San Miguel,Poncitlan San Miguel;Tolan;Taqualalantahui,San Miguel Zapotitlán,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.8238889,20.38222222,https://en.wikipedia.org/wiki/16th_century
165,193,Parroquia de Santa Leocadia, ,Iglesia de Santa Leocadia,1, ,Church,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.8633333,20.37444444,https://en.wikipedia.org/wiki/16th_century
19,200,Puebla de los Ángeles, ,Heroica Puebla de Zaragoza,1, , ,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,33.36158296,35.18357985,https://en.wikipedia.org/wiki/16th_century
82,201,Atengo, ,Atengo,1, ,Cabecera,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-97.03376054,14.27338344,https://en.wikipedia.org/wiki/16th_century
166,202,Huejúcar, ,Huejúcar,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-94.64480019,20.00849701,https://en.wikipedia.org/wiki/16th_century
126,206,Teúl, ,Teul,1, , ,0, ,,Acuña 1988;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1209,-98.64196194,19.17833389,https://en.wikipedia.org/wiki/16th_century
170,207,Las Nieves, ,Nieves,1, ,Mining Camp,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1209,-103.6168725,19.51213089,https://en.wikipedia.org/wiki/16th_century
172,209,Apozolco, ,Apazulco (Miguel Hidalgo Viejo),1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.3755556,19.55388889,https://en.wikipedia.org/wiki/16th_century
28,210,Puerto de la Navidad, ,Navidad,1, ,Harbor,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.728056,19.242778,https://en.wikipedia.org/wiki/16th_century
72,215,Purificación,Tecomatlan,Villa Purificación,1, ,Villa,0, ,,Acuña 1988;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=578,-95.24141798,16.32140045,https://en.wikipedia.org/wiki/16th_century
173,219,Río Balsas, ,Río Balsas,1, ,River,722, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-102.5795724,22.77667536,https://en.wikipedia.org/wiki/16th_century
23,223,Río de Taltenango, ,Tlaltenango,1, ,River,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-102.868056,23.174722,https://en.wikipedia.org/wiki/16th_century
181,225,Río de Zayn,Río de Sayn, ,2, ,River,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-103.641111,23.631111,https://en.wikipedia.org/wiki/16th_century
175,231,Río Grande de Tuscacuesco, , ,1, ,River,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.8075634,24.0670951,https://en.wikipedia.org/wiki/16th_century
171,232,Río Grande,Río Grande Fresnillo, ,1, ,River,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-104.3197656,19.50744467,https://en.wikipedia.org/wiki/16th_century
44,238,Culiacan, ,Culiacan Rosales,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-104.3364727,19.49477027,https://en.wikipedia.org/wiki/16th_century
169,239,Apozolco, ,Apozolco,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-104.2893038,19.50521225,https://en.wikipedia.org/wiki/16th_century
168,240,Atoyaque, ,Atoyac,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-102.8783412,23.16295664,https://en.wikipedia.org/wiki/16th_century
145,241,Chametla, ,Chametla,1, ,Pueblo,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1197,-103.921667,23.621944,https://en.wikipedia.org/wiki/16th_century
142,242,Chola, ,Chola,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-103.7361607,23.63872987,https://en.wikipedia.org/wiki/16th_century
123,245,Salinas de Santa María, ,Salinas de Santa María (no hay nombre actual),1, ,Salt pan,0, ,,Acuña 1988;Google Maps;Google Earth;unikloc10gw,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-103.747419,23.665494,https://en.wikipedia.org/wiki/16th_century
124,246,Peñol Blanco, ,Salinas de Hidalgo,2, ,Salt pan,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-103.7846422,23.67769355,https://en.wikipedia.org/wiki/16th_century
51,248,San Gabriel, ,San Gabriel,1, ,Sujeto,363,Depends on,,Acuña 1988;Google Maps;Google Earth;unikloc10gw,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=686,-102.228912,23.477322,https://en.wikipedia.org/wiki/16th_century
134,249,Tlacintla,San Gaspar,San Gaspar De Los Reyes,1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=686,-101.715556,22.627778,https://en.wikipedia.org/wiki/16th_century
136,251,San Miguel Xalostotitlan, ,Jalostotitlan,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-103.0079539,20.36082306,https://en.wikipedia.org/wiki/16th_century
101,253,San Luis, ,San Luis Del Agua Caliente,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-103.4597222,21.46305556,https://en.wikipedia.org/wiki/16th_century
102,257,Santa Cruz, ,Santa Cruz (El Grande),1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-103.4668701,21.45102175,https://en.wikipedia.org/wiki/16th_century
176,259,Santa María de los Lagos,Villa de los Lagos,Presidencia Municipal de Lagos de Moreno,1, ,Villa,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-105.2391867,20.8305942,https://en.wikipedia.org/wiki/16th_century
100,260,Copsppapit,Santiago,Santiago,1, , ,0, ,,Acuña 1988;Atlas 2010, ,-102.989722,22.649167,https://en.wikipedia.org/wiki/16th_century
174,262,Sayn,Zayn, ,2, ,Mountain Range,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-4.020520652,39.85811444,https://en.wikipedia.org/wiki/16th_century
177,263,Iconeuh Quimama, , ,2, ,Mountain Range,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.9918745,20.61202736,https://en.wikipedia.org/wiki/16th_century
178,264,Sierra La Taquexa,La Taquexa, ,2, ,Mountain Range,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.4638889,21.27583333,https://en.wikipedia.org/wiki/16th_century
91,269,Soyacapan,Soyatiacapan,Cuyacapan,1, ,Sujeto,328,Depends on,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.6333333,21.28888889,https://en.wikipedia.org/wiki/16th_century
60,272,Suchitlan, ,Juchitlan,1, ,Sujeto,113,Depends on,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.5016667,21.29083333,https://en.wikipedia.org/wiki/16th_century
99,274,Zula,Taccalio,Zula,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.6369444,21.39083333,https://en.wikipedia.org/wiki/16th_century
22,279,Tamazula, ,Tamazula De Gordiano,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.4652778,21.16833333,https://en.wikipedia.org/wiki/16th_century
137,283,Temacapuli,Tecamapuli,Temacapulin (Temaca),1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.7063889,21.18805555,https://en.wikipedia.org/wiki/16th_century
36,285,Tecpatitlan, ,Tepatitlan,1, , ,0, ,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.3041667,21.22083333,https://en.wikipedia.org/wiki/16th_century
43,287,Teculutlan,Tecolotlan,Tecolotlan,1, ,Cabecera,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-102.3308333,21.24583333,https://en.wikipedia.org/wiki/16th_century
80,289,Tenamayuca, ,Tenayuca,1, ,Sujeto,173,Depends on,,Acuña 1988;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.5963889,21.53944444,https://en.wikipedia.org/wiki/16th_century
17,290,Tenamaztlan, ,Tenamaxtlan,1, ,Cabecera,0, ,,Acuña 1988;Goyas Mejia 2017;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-105.3492217,20.15368889,https://en.wikipedia.org/wiki/16th_century
90,291,Tenango, ,Tenango,1, ,Sujeto,328,Depends on,,Acuña 1988;NGA_GNS,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-105.316667,19.75,https://en.wikipedia.org/wiki/16th_century
58,293,Tepantla, ,Tepantla,1, ,Sujeto,17,Depends on,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.930026,24.14782578,https://en.wikipedia.org/wiki/16th_century
55,295,Tetlan, ,Tetlan,1, , ,0, ,,Acuña 1988;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-102.5720526,22.77608662,https://en.wikipedia.org/wiki/16th_century
48,296,Tetlapanique, ,Tetapan,1, ,Sujeto,363,Depends on,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-105.081944,19.538333,https://en.wikipedia.org/wiki/16th_century
77,298,Teucaltiche, ,Teocaltiche,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.6719252,21.81923665,https://en.wikipedia.org/wiki/16th_century
133,301,Teucaltitlan, ,Teocaltitan,1, , ,0, ,,Acuña 1988;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-103.1379962,21.81083506,https://en.wikipedia.org/wiki/16th_century
26,302,Teutlan, ,Teutlan,1, ,Sujeto,363,Depends on,,Acuña 1988;Google Maps, ,-102.2598674,21.9289316,https://en.wikipedia.org/wiki/16th_century
45,311,Tlaxcala, ,Tlaxcala,1, , ,0, ,,Acuña 1988;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=416,-102.295833,21.879722,https://en.wikipedia.org/wiki/16th_century
131,314,Quauhtepetl,Quauhtepeque;Sierra del Águila, ,1, ,Mountain Range,0, ,,Acuña 1988;Atlas 2010, ,-104.178056,20.590556,https://en.wikipedia.org/wiki/16th_century
