FID,My_FID8,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
37,12,Aquiapa, ,Aquiapan,1, ,Sujeto,7,Depends on,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.85,18.74305556,https://en.wikipedia.org/wiki/16th_century
139,13,Minas de Zacatecas,Zacatecas,Cerro del Grillo,1, ,Mining Camp,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1987;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-102.5795724,22.77667536,https://en.wikipedia.org/wiki/16th_century
2,14,Atlatlauhcan,Atlatlauhca,Atlatlahucan,1, ,Cabecera,0, ,,,Acuña 1986;INEGI: MEX_topoloc, ,-98.89960396,18.9373464,https://en.wikipedia.org/wiki/16th_century
140,15,Las Indias,Nuevo Mundo,Las Indias Occidentales,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Allocated by research, ,-75.351208,19.24294408,https://en.wikipedia.org/wiki/16th_century
141,16,Xilotepec, ,Jilotepec,1, ,Cabecera,28,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1985;INEGI: MEX_topoloc, ,-96.95153637,19.61217923,https://en.wikipedia.org/wiki/16th_century
42,17,Atotonilco, ,Atotonilco (El Grande),1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.67,20.28611111,https://en.wikipedia.org/wiki/16th_century
73,18,Axocupan,Axocopan;Huitziquauhtlan,Ajacuba,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.11611111,20.08861111,https://en.wikipedia.org/wiki/16th_century
6,19,Azcaputzalco,Escapuçaco,Azcapotzalco,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.18333333,19.48277778,https://en.wikipedia.org/wiki/16th_century
142,20,Nueva España, ,México,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Allocated by research, ,-99.12477328,19.45212213,https://en.wikipedia.org/wiki/16th_century
91,21,Huitznahuac, ,Parroquia Hiitznahuac,1, ,Barrio,164,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Google Maps, ,-98.88680047,19.55458006,https://en.wikipedia.org/wiki/16th_century
16,23,Cacapula, ,Capula,1, ,Sujeto,7,Depends on,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.95583333,18.86833333,https://en.wikipedia.org/wiki/16th_century
132,24,Calpulalpá, ,Calpulalpan,1, ,Sujeto,164,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;GeoNames_MX, ,-98.570585,19.589893,https://en.wikipedia.org/wiki/16th_century
86,27,Ceno Tezcotzinco,Tezcotzinco;Cerro Tetzcotl;Tetzcotl,Zona Arqueológica Tetzcutzingo,1, ,Hill,164,Near,,,Acuña 1986;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.81762389,19.49723278,https://en.wikipedia.org/wiki/16th_century
