FID,My_FID2,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
39,103,Pueblo Guatulco,Guatulco,Santa Maria Huatulco,1, ,0, ,,,Acuña 1984;INEGI: MEX_topoloc, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.32015363,15.8319966,https://en.wikipedia.org/wiki/16th_century
130,104,Puerto Guatulco, ,Bahía de Santa Cruz Huatulco,1, ,0, ,,,Acuña 1984;Atlas 2010,Harbor,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-96.132222,15.754167,https://en.wikipedia.org/wiki/16th_century
172,106,Guaxilotitlan, ,Huexolotitlan (Huitzo),1, ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.88336245,17.27712311,https://en.wikipedia.org/wiki/16th_century
229,107,Guetrauaco, ,Cerro Mixteco,2, ,62,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Zona_Arq_INAH,Hill,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-96.96687382,17.77371982,https://en.wikipedia.org/wiki/16th_century
193,108,Estancia Güeyapan,Estancia Yuchacano;Güeyapan;Yuchacano,Huayapam,1, ,64,Depends on,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-96.66613779,17.10257971,https://en.wikipedia.org/wiki/16th_century
0,113,Huautla,Guautla;Pueblo Guautla,Huauclilla,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.07166667,17.45027778,https://en.wikipedia.org/wiki/16th_century
221,116,Sierra Hueyactepec,Hueyactepec;Quiatani, ,2, ,177,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,Mountain Range,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-96.02372723,16.7246843,https://en.wikipedia.org/wiki/16th_century
117,119,Huitziltengo, ,Lluvina,1, ,28,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-96.54861111,17.50388889,https://en.wikipedia.org/wiki/16th_century
187,121,Corregimiento Icpatepec,Icpatepeque;Icpatepec;Yucu duuva;Yucuyua,Ixplatepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Corregimiento, ,-98.02166667,17.50805555,https://en.wikipedia.org/wiki/16th_century
223,123,Valle Iniquehui,Iniquehui;Tzoncali, ,1, ,182,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,Valley,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1197,-97.23925131,17.45651169,https://en.wikipedia.org/wiki/16th_century
188,124,Isla Española, ,República Dominicana/Haiti,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Google Maps, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-71.03738513,19.01809264,https://en.wikipedia.org/wiki/16th_century
86,126,Estancia Itztenango,Itztenango,Tenango-Sosola,1, ,106,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-97.00416667,17.32472222,https://en.wikipedia.org/wiki/16th_century
85,127,Itztepexic,Yaxitza;Ixtepexic;Ixtepexi;Santa Catarina Ixtepexi;Ilztepexic;Iyya'idza Laosia'quiela;Itztexic;Yaxitza Latzi-quiela,Ixtepeji,1,"Santa Catarina Ixtepexi está en el indice, pero no en el texto",0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.56196346,17.26552364,https://en.wikipedia.org/wiki/16th_century
106,128,Ixcatlan,Temazcalapa,Ixcatlan,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.19277778,17.85277778,https://en.wikipedia.org/wiki/16th_century
114,129,Ixhuatlan, ,Chapopotla,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-94.3875,18.02111111,https://en.wikipedia.org/wiki/16th_century
19,135,Estancia Iztactepetitlan,Iztactepetitlan,Ixtaltepec,1, ,145,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-96.56555556,17.02833333,https://en.wikipedia.org/wiki/16th_century
129,138,Iztepec,Quialoo;Santa Cruz,Mixtepec,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.88083333,16.79166667,https://en.wikipedia.org/wiki/16th_century
